DefineLocIntent   {Loc}
DirectionIntent   wie weit es {RouteMode} aus der {StartLoc} ins {EndLoc} ist
DirectionIntent   wie weit es {RouteMode} von {StartLoc} in das {EndLoc} ist
DirectionIntent   wie weit es {RouteMode} vom {StartLoc} in das {EndLoc} ist
DirectionIntent   wie weit es {RouteMode} von der {StartLoc} in das {EndLoc} ist
DirectionIntent   wie weit es {RouteMode} aus der {StartLoc} in das {EndLoc} ist
DirectionIntent   wie lange ich von {StartLoc} nach {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich vom {StartLoc} nach {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von der {StartLoc} nach {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich aus der {StartLoc} nach {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von {StartLoc} zur {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich vom {StartLoc} zur {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von der {StartLoc} zur {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich aus der {StartLoc} zur {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von {StartLoc} in die {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich vom {StartLoc} in die {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von der {StartLoc} in die {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich aus der {StartLoc} in die {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von {StartLoc} zum {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich vom {StartLoc} zum {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von der {StartLoc} zum {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich aus der {StartLoc} zum {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von {StartLoc} ins {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich vom {StartLoc} ins {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von der {StartLoc} ins {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich aus der {StartLoc} ins {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von {StartLoc} in das {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich vom {StartLoc} in das {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich von der {StartLoc} in das {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich aus der {StartLoc} in das {EndLoc} {RouteMode} brauche
DirectionIntent   wie lange ich {RouteMode} von {StartLoc} nach {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} vom {StartLoc} nach {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von der {StartLoc} nach {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} aus der {StartLoc} nach {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von {StartLoc} zur {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} vom {StartLoc} zur {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von der {StartLoc} zur {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} aus der {StartLoc} zur {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von {StartLoc} in die {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} vom {StartLoc} in die {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von der {StartLoc} in die {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} aus der {StartLoc} in die {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von {StartLoc} zum {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} vom {StartLoc} zum {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von der {StartLoc} zum {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} aus der {StartLoc} zum {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von {StartLoc} ins {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} vom {StartLoc} ins {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von der {StartLoc} ins {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} aus der {StartLoc} ins {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von {StartLoc} in das {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} vom {StartLoc} in das {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} von der {StartLoc} in das {EndLoc} brauche
DirectionIntent   wie lange ich {RouteMode} aus der {StartLoc} in das {EndLoc} brauche
